,A1,A2,A3,A4,A5,A6,A7,A8,A9,Rivendell_WY_Rain_mm,well_10_adjust,well_07_adjust,PET_mmd
2017-01-20,0.8288056232129293,0.9129029256142349,0.7465236433944533,0.7767056442241818,0.47200886201779446,0.6945624223447233,0.4336904076051664,0.782573399666399,0.7012959312264868,1919.0589895863088,-12.705295579170896,-5.501186960136309,0.5835158631817944
2017-01-21,0.8255891706410619,0.9067917970350363,0.7559927760929311,0.7793589237023808,0.4768451474602421,0.7086052268907324,0.4812400391008744,0.7910978283417591,0.7159516785978419,1974.7059889454397,-11.94173488892112,-4.678238498760281,0.5787462908217695
2017-01-22,0.8267593608815194,0.9081404507381232,0.7578310877835308,0.7812576655520305,0.47933580642910845,0.7117062944111887,0.47881304942105535,0.7954075270060352,0.7285828077738628,2016.559989036992,-12.020175065994254,-4.877237060251399,0.7980196408456895
2017-01-23,0.8316677383619488,0.9134873536061083,0.7554784619668016,0.7799663395978844,0.4827038019283102,0.6899933746171483,0.4721868570393534,0.7945045986403567,0.7275209713717823,2041.8399897236377,-12.309660265035916,-5.064745524822983,0.7796078925340894
2017-01-24,0.8283710415160468,0.9218214812553802,0.7625548505513962,0.7785900969992504,0.4846710959042727,0.6891124773859792,0.45723249764437546,0.7922079405907254,0.7184292537665187,2049.803989948705,-12.655221439919249,-5.527568975119353,0.9486053240140753
2017-01-25,0.8400628538360664,0.9308231871658135,0.7736400962919576,0.7892911207843183,0.4858421052357682,0.6709186598514212,0.43536820835535894,0.7903146956642251,0.7084916835613739,2049.803989948705,-12.931637765401472,-5.787214526152707,1.0180384612744562
2017-01-26,0.8359473749338708,0.9313485495453275,0.7854293828224671,0.7917625724598695,0.49058633569665866,0.690707259468407,0.45391929318460866,0.7929696204187033,0.7077794877785674,2049.803989948705,-12.969916415474032,-5.830042022226602,1.0630009258309607
2017-01-27,0.8286575470445326,0.9334384154075274,0.7881770094575653,0.7927171468040531,0.4947508270430543,0.6705209365896805,0.4716419976373194,0.7885421363823484,0.7031535576780545,2049.803989948705,-12.946799134062012,-5.806307137304003,1.0582737768099024
2017-01-28,0.8460432971799008,0.9302559309480232,0.7990903302033776,0.7877311402854587,0.5033868861148958,0.6641896976474125,0.4769009937107932,0.7864280786907977,0.7011013877059835,2049.803989948705,-12.966606217144449,-5.823991439069236,1.1155793849828042
2017-01-29,0.8485727821321354,0.931988292327993,0.8016810342777179,0.7967242553094143,0.5070954952870319,0.6659916348214956,0.4843267159653577,0.7832405050404148,0.6991278542072623,2049.803989948705,-12.949838229215386,-5.810959125697631,1.1233718997489337
2017-01-30,0.8413102815276639,0.9308379604642216,0.7991533907390702,0.7922750371164158,0.49999327661372495,0.6629821098821512,0.4754099759156569,0.7893848371272681,0.6993582278596486,2049.803989948705,-12.964065878943437,-5.820588186918263,1.1567864610079583
2017-01-31,0.8415541181529271,0.9360170566881265,0.7935160077048995,0.7893040459086123,0.5018109341581488,0.6676213786338538,0.48098928736992996,0.7906091880290345,0.6972651406538288,2049.803989948705,-12.95182339036342,-5.813400917616445,1.2159778016618472
2017-02-01,0.828851334898188,0.9323861096178603,0.7981051226126498,0.7931497060038039,0.4895219150007978,0.6666503456536257,0.46762131694148623,0.7910479930002123,0.6975019102945104,2049.803989948705,-12.96254635903538,-5.8187188515690025,1.4149791418842552
2017-02-02,0.8330802797957926,0.9348916269263197,0.7977801611045339,0.7940346576484936,0.48573189142531104,0.6641876774880149,0.4722494685736151,0.7922237304780378,0.6951291683907045,2066.352989735082,-12.953092335023332,-5.815162000558678,1.1635302216061991
2017-02-03,0.8182818505697631,0.9346654183553038,0.799265470406451,0.7916860040369393,0.4830129587958185,0.66307322181448,0.45512103069378707,0.7947825574819797,0.6984351724874709,2120.642990650609,-12.9612037653311,-5.816547761644156,0.6740610196681224
2017-02-04,0.8325313342191396,0.9440043961158994,0.802027138445553,0.8070677636287091,0.49210002501496664,0.670143342126664,0.46444663857614615,0.8019024525194267,0.7003818918624193,2206.604988636449,-13.035151496625826,-5.893883017471604,0.6624961729835881
2017-02-05,0.846700592990534,0.9398893430971307,0.8079830878962923,0.8121112620326267,0.49665972310728823,0.6841168522377714,0.4918299457723944,0.8062129570576808,0.7079275321988723,2223.763989033177,-13.092487962025398,-5.963447754360191,1.134053222818608
2017-02-06,0.8432062811679322,0.9348240148441574,0.8145093074519685,0.8059698755275507,0.500825995502284,0.7072952022426622,0.5111777011427074,0.8174606765616783,0.7209289652649812,2295.2279859203845,-13.092067405025832,-5.975427374293289,0.7971184514746272
2017-02-07,0.8491288497625569,0.9420726930449905,0.8219789005772822,0.8147239190263678,0.563646706817126,0.7382786805918031,0.5722651388085961,0.8248316177449886,0.7302826665141473,2436.2029920239,-13.0879898987686,-5.955722378465179,1.2519226630605194
2017-02-08,0.842854540417904,0.9373691812748306,0.829844707115602,0.8143206580261104,0.522368017838418,0.7532178104287186,0.5679980485909414,0.8306999925685257,0.7481525802244497,2458.329992832616,-13.097952058334656,-5.985260957154376,1.3665518742316296
2017-02-09,0.8429549870900718,0.9325779772469385,0.8297178732777097,0.8184695546542013,0.5203958031221103,0.7526471159981603,0.5686335445274417,0.8313373603189791,0.7517922349697517,2570.988989414647,-13.080444849377958,-5.943650218176479,1.18076864677602
2017-02-10,0.8434085601309154,0.9338142665781903,0.8354887754322415,0.8184986169099452,0.5288309835838945,0.7492041282600517,0.5853766137153581,0.837165264540856,0.7566419785618129,2645.654989780858,-13.107322714005049,-5.999393576980096,1.135967295117756
